City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,georgetown,5.4112,100.3354,28.97,74,40,4.12,MY,1726551142
146,kapuskasing,49.4169,-82.4331,20.0,77,20,3.09,CA,1726551375
147,manoc-manoc,11.9416,121.9428,26.04,95,100,9.58,PH,1726551376
148,bel air north,39.5543,-76.3731,18.41,80,99,0.89,US,1726551377
149,cabo san lucas,22.8909,-109.9124,24.31,78,4,2.24,MX,1726551226
150,espumoso,-28.7247,-52.8497,10.1,92,0,2.05,BR,1726551379
151,albany,42.6001,-73.9662,13.48,70,100,1.09,US,1726551380
152,new norfolk,-42.7826,147.0587,10.38,69,100,5.12,AU,1726551381
153,nar'yan-mar,67.6713,53.087,14.67,76,48,4.52,RU,1726551382
154,wainwright,52.839,-110.8572,13.1,64,31,0.51,CA,1726551383
155,fort bragg,35.139,-79.006,21.22,94,100,5.14,US,1726551384
156,anaconda,46.1285,-112.9423,10.8,90,86,1.53,US,1726551386
157,la gi,10.6667,107.7833,28.63,76,100,7.45,VN,1726551387
158,heihe,50.2441,127.4902,21.32,17,0,7.35,CN,1726551388
159,tadine,-21.55,167.8833,20.2,55,22,7.17,NC,1726551389
160,sungailiat,-1.85,106.1333,29.8,64,100,4.02,ID,1726551390
161,kolonia town,6.964,158.206,29.0,84,100,2.06,FM,1726551391
162,tecumseh,42.0039,-83.9449,13.96,87,0,1.54,US,1726551392
163,bandon,51.7469,-8.7425,13.77,98,15,1.45,IE,1726551393
164,ust-nera,64.5667,143.2,6.35,53,98,3.04,RU,1726551394
165,hotan,37.0997,79.9269,26.49,21,3,2.66,CN,1726551395
166,albania,41.0,20.0,17.99,59,100,1.35,AL,1726551398
167,jijiga,9.35,42.8,20.3,64,77,9.53,ET,1726551399
168,onega,63.9061,38.1404,12.63,53,93,1.61,RU,1726551400
169,bubaque,11.2833,-15.8333,26.38,84,100,6.96,GW,1726551401
170,kapoeta,4.7717,33.5903,28.68,41,55,6.05,SS,1726551402
171,hermanus,-34.4187,19.2345,9.89,79,51,2.31,ZA,1726551403
172,nemuro,43.3236,145.575,17.72,95,91,3.74,JP,1726551404
173,praia,14.9215,-23.5087,25.3,78,75,3.09,CV,1726551405
174,cartagena,10.3997,-75.5144,25.79,81,40,1.54,CO,1726551406
175,west island,-12.1568,96.8225,27.99,61,20,7.72,CC,1726551408
176,pihuamo,19.2499,-103.3828,22.35,97,100,0.7,MX,1726551409
177,taguatinga,-12.3857,-46.5711,24.14,32,1,1.69,BR,1726551410
178,mendaha,-1.0333,103.5833,31.9,59,100,1.19,ID,1726551411
179,rio negrinho,-26.2544,-49.5183,11.0,98,99,1.4,BR,1726551412
180,bredasdorp,-34.5322,20.0403,10.72,80,45,1.27,ZA,1726551413
181,isyangulovo,52.1909,52.1909,16.4,36,1,5.45,RU,1726551414
182,xincheng,33.6333,115.1833,25.4,91,100,8.53,CN,1726551415
183,saipan,15.1355,145.701,31.39,74,40,4.12,MP,1726551416
184,suhbaatar,50.2314,106.2078,16.19,44,2,4.83,MN,1726551419
185,tataouine,32.9297,10.4518,21.05,61,91,1.23,TN,1726551420
186,carbondale,37.7273,-89.2168,17.03,97,20,0.0,US,1726551421
187,plettenberg bay,-34.0527,23.3716,14.3,71,0,0.42,ZA,1726551422
188,dalnegorsk,44.5604,135.5701,22.58,46,2,4.59,RU,1726551423
189,brookings,44.3114,-96.7984,20.78,82,0,5.66,US,1726551424
190,gisborne,-38.6533,178.0042,8.83,89,97,7.58,NZ,1726551425
191,naze,28.3667,129.4833,29.51,77,5,8.09,JP,1726551377
192,east london,-33.0153,27.9116,15.52,94,75,1.03,ZA,1726551427
193,fada,7.25,4.0667,24.37,94,40,1.54,NG,1726551428
194,hasaki,35.7333,140.8333,27.6,79,56,7.51,JP,1726551430
195,siwa oasis,29.2041,25.5195,26.59,49,0,4.42,EG,1726551431
196,qamdo,31.1667,97.2333,17.8,45,78,3.39,CN,1726551432
197,broome,42.2506,-75.833,13.42,70,100,0.45,US,1726551433
198,iskateley,67.6803,53.1512,14.8,75,49,4.54,RU,1726551435
199,jayapura,-2.5333,140.7,33.66,72,47,4.96,ID,1726551436
200,wasagu,11.3764,5.7954,22.64,92,100,0.57,NG,1726551437
201,limassol,34.675,33.0333,25.04,61,20,0.51,CY,1726551438
202,port alfred,-33.5906,26.891,15.1,92,79,3.13,ZA,1726551439
203,bonawon,9.134,122.9193,27.64,82,100,6.76,PH,1726551440
204,nirsa,23.7833,86.7167,31.1,64,100,6.46,IN,1726551442
205,el calafate,-50.3408,-72.2768,4.54,86,33,1.29,AR,1726551443
206,dakhla,23.6848,-15.958,19.55,92,14,6.36,EH,1726551444
207,punta arenas,-53.15,-70.9167,4.06,87,75,4.63,CL,1726551445
208,arraial do cabo,-22.9661,-42.0278,21.2,81,95,7.04,BR,1726551446
209,dapa,9.7594,126.0531,29.43,71,100,4.42,PH,1726551447
210,rongelap,11.1635,166.8941,28.66,72,14,2.85,MH,1726551448
211,bandarbeyla,9.4942,50.8122,30.21,56,24,10.89,SO,1726551449
